min_itm_in,min_itm_out,min_fin_in,min_fin_out,min_fin_acc,max_var_s0,max_var_s1,left_data_size,right_data_size,candstore_length,no_of_queries,no_of_redescriptions,queries_support_min,queries_support_max,queries_support_mean,queries_support_median,queries_accuracy_min,queries_accuracy_max,queries_accuracy_mean,queries_accuracy_median,mining_duration,filtering_duration,mining_and_filtering_duration
800,850,850,850,0.5,2,2,194,49,1388,1388,1388,800,1045,865.6368876,856.5,0.5,0.673106646,0.539643247,0.531861481,44.05333996,44.05333996,44.05333996
820,850,850,850,0.5,2,2,194,49,1131,1131,1131,820,1045,878.1874447,869,0.5,0.673106646,0.542376849,0.534825871,42.33947396,42.33947396,42.33947396
840,850,850,850,0.5,2,2,194,49,883,883,883,840,1045,891.9592299,881,0.5,0.673106646,0.544595886,0.537237428,34.16959119,34.16959119,34.16959119
860,850,850,850,0.5,2,2,194,49,662,662,662,860,1045,906.1782477,896,0.5,0.673106646,0.545937372,0.539352053,27.31924391,27.31924391,27.31924391
880,850,850,850,0.5,2,2,194,49,450,450,450,880,1045,923.4044444,915,0.500279486,0.664424514,0.548675671,0.544732737,16.98915672,16.98915672,16.98915672
900,850,850,850,0.5,2,2,194,49,310,310,310,900,1045,938.9258065,928.5,0.500828272,0.631038647,0.551526362,0.548185367,12.08975387,12.08975387,12.08975387
920,850,850,850,0.5,2,2,194,49,199,199,199,920,1045,955.4572864,947,0.504096122,0.631038647,0.556375321,0.552826956,10.32727695,10.32727695,10.32727695
940,850,850,850,0.5,2,2,194,49,118,118,118,940,1045,974.0508475,968,0.504485488,0.631038647,0.563018919,0.566453839,8.840033054,8.840033054,8.840033054
960,850,850,850,0.5,2,2,194,49,68,68,68,960,1045,992.0147059,988,0.508278976,0.631038647,0.569934857,0.569646177,8.727996111,8.727996111,8.727996111
980,850,850,850,0.5,2,2,194,49,44,44,44,980,1045,1003.659091,1002,0.508278976,0.631038647,0.576983707,0.57836721,7.801563025,7.801563025,7.801563025
850,800,850,850,0.5,2,2,194,49,1123,1123,1123,850,1130,916.3713268,897,0.5,0.673106646,0.542244426,0.536005009,31.49951696,31.49951696,31.49951696
850,820,850,850,0.5,2,2,194,49,1123,1123,1123,850,1130,916.3713268,897,0.5,0.673106646,0.542244426,0.536005009,31.51191711,31.51191711,31.51191711
850,840,850,850,0.5,2,2,194,49,943,943,943,850,1070,897.9353128,886,0.5,0.673106646,0.544237379,0.537703016,30.12420321,30.12420321,30.12420321
850,860,850,850,0.5,2,2,194,49,736,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,30.82420611,30.82420611,30.82420611
850,880,850,850,0.5,2,2,194,49,736,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,22.55257535,22.55257535,22.55257535
850,900,850,850,0.5,2,2,194,49,736,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,17.3518548,17.3518548,17.3518548
850,920,850,850,0.5,2,2,194,49,736,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,15.3544991,15.3544991,15.3544991
850,940,850,850,0.5,2,2,194,49,736,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,15.38247609,15.38247609,15.38247609
850,960,850,850,0.5,2,2,194,49,736,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,15.47419429,15.47419429,15.47419429
850,980,850,850,0.5,2,2,194,49,736,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,14.54605103,14.54605103,14.54605103
850,850,800,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.87938213,27.87938213,27.87938213
850,850,820,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,28.16476297,28.16476297,28.16476297
850,850,840,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.98380709,27.98380709,27.98380709
850,850,860,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.24920678,27.24920678,27.24920678
850,850,880,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.51850009,27.51850009,27.51850009
850,850,900,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.33673692,27.33673692,27.33673692
850,850,920,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.81741691,27.81741691,27.81741691
850,850,940,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,28.01531696,28.01531696,28.01531696
850,850,960,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.84218192,27.84218192,27.84218192
850,850,980,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.82685208,27.82685208,27.82685208
850,850,850,850,0.1,2,2,194,49,1218,1218,1218,850,1045,892.8661741,882,0.402444758,0.673106646,0.515813345,0.515370699,28.15461302,28.15461302,28.15461302
850,850,850,850,0.2,2,2,194,49,1218,1218,1218,850,1045,892.8661741,882,0.402444758,0.673106646,0.515813345,0.515370699,27.61699796,27.61699796,27.61699796
850,850,850,850,0.3,2,2,194,49,1218,1218,1218,850,1045,892.8661741,882,0.402444758,0.673106646,0.515813345,0.515370699,27.98441625,27.98441625,27.98441625
850,850,850,850,0.4,2,2,194,49,1218,1218,1218,850,1045,892.8661741,882,0.402444758,0.673106646,0.515813345,0.515370699,28.15692592,28.15692592,28.15692592
850,850,850,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,28.0143621,28.0143621,28.0143621
850,850,850,850,0.6,2,2,194,49,48,48,48,851,1045,909.3125,891,0.600593472,0.673106646,0.630764903,0.621197949,27.91540098,27.91540098,27.91540098
850,850,850,850,0.7,2,2,194,49,0,0,0,0,0,0,0,0,0,0,0,27.63872528,27.63872528,27.63872528
850,850,850,850,0.8,2,2,194,49,0,0,0,0,0,0,0,0,0,0,0,27.15017819,27.15017819,27.15017819
850,850,850,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.60506701,27.60506701,27.60506701
850,850,850,850,0.5,3,2,194,49,791,791,791,850,1045,897.9380531,886,0.5,0.673106646,0.546179981,0.539257456,27.92640805,27.92640805,27.92640805
850,850,850,850,0.5,4,2,194,49,791,791,791,850,1045,897.9380531,886,0.5,0.673106646,0.546179981,0.539257456,29.28179979,29.28179979,29.28179979
850,850,850,850,0.5,5,2,194,49,791,791,791,850,1045,897.9380531,886,0.5,0.673106646,0.546179981,0.539257456,28.97283816,28.97283816,28.97283816
850,850,850,850,0.5,2,2,194,49,770,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,27.46304703,27.46304703,27.46304703
850,850,850,850,0.5,2,3,194,49,1270,1270,1270,850,1045,892.4086614,883,0.5,0.673106646,0.540575109,0.533491455,38.75733399,38.75733399,38.75733399
850,850,850,850,0.5,2,4,194,49,1661,1661,1661,850,1045,888.5189645,879,0.5,0.673106646,0.53721438,0.530275229,58.62701607,58.62701607,58.62701607
850,850,850,850,0.5,2,5,194,49,1878,1878,1878,850,1045,886.4302449,877,0.5,0.673106646,0.534940252,0.52840562,86.39841485,86.39841485,86.39841485
