min_itm_in,min_itm_out,min_fin_in,min_fin_out,min_fin_acc,max_var_s0,max_var_s1,left_data_size,right_data_size,left_candstore_length,right_candstore_length,candstore_length,queries_length,no_of_redescriptions,queries_support_min,queries_support_max,queries_support_mean,queries_support_median,queries_accuracy_min,queries_accuracy_max,queries_accuracy_mean,queries_accuracy_median,mining_duration,filtering_duration
800,850,850,850,0.5,2,2,194,49,243,2969,3212,1388,1388,800,1045,865.6368876,856.5,0.5,0.673106646,0.539643247,0.531861481,9.48196578,38.12886024
820,850,850,850,0.5,2,2,194,49,227,2587,2814,1131,1131,820,1045,878.1874447,869,0.5,0.673106646,0.542376849,0.534825871,7.183703184,29.7171042
840,850,850,850,0.5,2,2,194,49,210,2136,2346,883,883,840,1045,891.9592299,881,0.5,0.673106646,0.544595886,0.537237428,5.906610966,23.62168312
860,850,850,850,0.5,2,2,194,49,197,1784,1981,662,662,860,1045,906.1782477,896,0.5,0.673106646,0.545937372,0.539352053,4.844196081,19.24597311
880,850,850,850,0.5,2,2,194,49,179,1390,1569,450,450,880,1045,923.4044444,915,0.500279486,0.664424514,0.548675671,0.544732737,2.305089712,14.06226611
900,850,850,850,0.5,2,2,194,49,162,1290,1452,310,310,900,1045,938.9258065,928.5,0.500828272,0.631038647,0.551526362,0.548185367,1.681038857,11.91143107
920,850,850,850,0.5,2,2,194,49,147,1214,1361,199,199,920,1045,955.4572864,947,0.504096122,0.631038647,0.556375321,0.552826956,1.322343826,10.38667297
940,850,850,850,0.5,2,2,194,49,135,1116,1251,118,118,940,1045,974.0508475,968,0.504485488,0.631038647,0.563018919,0.566453839,1.091387033,8.912933826
960,850,850,850,0.5,2,2,194,49,121,1016,1137,68,68,960,1045,992.0147059,988,0.508278976,0.631038647,0.569934857,0.569646177,0.885864735,7.304671049
980,850,850,850,0.5,2,2,194,49,113,916,1029,44,44,980,1045,1003.659091,1002,0.508278976,0.631038647,0.576983707,0.57836721,0.728212833,6.248262167
850,800,850,850,0.5,2,2,194,49,254,2050,2304,1123,1123,850,1130,916.3713268,897,0.5,0.673106646,0.542244426,0.536005009,5.464396,28.08757186
850,820,850,850,0.5,2,2,194,49,254,1993,2247,1123,1123,850,1130,916.3713268,897,0.5,0.673106646,0.542244426,0.536005009,5.374384165,27.22172284
850,840,850,850,0.5,2,2,194,49,228,1952,2180,943,943,850,1070,897.9353128,886,0.5,0.673106646,0.544237379,0.537703016,5.335289001,24.16030908
850,860,850,850,0.5,2,2,194,49,179,2013,2192,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,5.440340042,19.278265
850,880,850,850,0.5,2,2,194,49,179,1731,1910,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,4.613532782,16.83521891
850,900,850,850,0.5,2,2,194,49,179,1545,1724,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,3.395422935,15.24875808
