min_itm_in,min_itm_out,min_fin_in,min_fin_out,min_fin_acc,max_var_s0,max_var_s1,left_data_size,right_data_size,candstore_length,no_of_queries,no_of_redescriptions,queries_support_min,queries_support_max,queries_support_mean,queries_support_median,queries_accuracy_min,queries_accuracy_max,queries_accuracy_mean,queries_accuracy_median,mining_duration,filtering_duration
800,850,850,850,0.5,4,4,194,49,9518,4354,4354,800,1045,847.5785485,837,0.5,0.673106646,0.537264557,0.525979928,231.1986518,1.135815859
820,850,850,850,0.5,4,4,194,49,5541,3078,3078,820,1045,863.3031189,854,0.5,0.673106646,0.538051874,0.526605505,129.8072371,0.821977854
840,850,850,850,0.5,4,4,194,49,3216,2066,2066,840,1045,879.9801549,872,0.5,0.673106646,0.537822974,0.528930714,79.47346187,0.392001629
860,850,850,850,0.5,4,4,194,49,1822,1399,1399,860,1045,895.0578985,886,0.5,0.673106646,0.537608028,0.531358885,49.49354291,0.226891041
880,850,850,850,0.5,4,4,194,49,1030,824,824,880,1045,913.1177184,905,0.500279486,0.664424514,0.541262086,0.536627907,29.18247604,0.132062435
900,850,850,850,0.5,4,4,194,49,575,470,470,900,1045,931.4404255,922,0.500828272,0.631038647,0.548235325,0.544685914,18.45421791,0.073847055
920,850,850,850,0.5,4,4,194,49,302,248,248,920,1045,951.4677419,941,0.504096122,0.631038647,0.555221513,0.551696059,11.46836782,0.040436983
940,850,850,850,0.5,4,4,194,49,153,129,129,940,1045,972.5813953,968,0.504485488,0.631038647,0.562888773,0.563688761,7.408044815,0.016912222
960,850,850,850,0.5,4,4,194,49,87,73,73,960,1045,990.4657534,987,0.508278976,0.631038647,0.569273678,0.568504832,5.085585833,0.01033783
980,850,850,850,0.5,4,4,194,49,48,44,44,980,1045,1003.659091,1002,0.508278976,0.631038647,0.576983707,0.57836721,3.454545259,0.006067038
850,800,850,850,0.5,4,4,194,49,8020,2703,2703,850,1130,913.2837588,895,0.5,0.673106646,0.533581029,0.526162791,64.15811896,1.253310204
850,820,850,850,0.5,4,4,194,49,8020,2703,2703,850,1130,913.2837588,895,0.5,0.673106646,0.533581029,0.526162791,64.60050488,1.212236166
