min_itm_in,min_itm_out,min_fin_in,min_fin_out,min_fin_acc,max_var_s0,max_var_s1,left_data_size,right_data_size,candstore_length,no_of_queries,no_of_redescriptions,queries_support_min,queries_support_max,queries_support_mean,queries_support_median,queries_accuracy_min,queries_accuracy_max,queries_accuracy_mean,queries_accuracy_median,mining_duration,filtering_duration,mining_and_filtering_duration
800,850,850,850,0.5,2,2,194,49,3064,1388,1388,800,1045,865.6368876,856.5,0.5,0.673106646,0.539643247,0.531861481,76.41318607,0.299537897,76.71272397
820,850,850,850,0.5,2,2,194,49,2165,1131,1131,820,1045,878.1874447,869,0.5,0.673106646,0.542376849,0.534825871,52.45200491,0.201935291,52.6539402
840,850,850,850,0.5,2,2,194,49,1498,883,883,840,1045,891.9592299,881,0.5,0.673106646,0.544595886,0.537237428,37.6681459,0.148204088,37.81634999
860,850,850,850,0.5,2,2,194,49,997,662,662,860,1045,906.1782477,896,0.5,0.673106646,0.545937372,0.539352053,26.76009202,0.111955881,26.8720479
880,850,850,850,0.5,2,2,194,49,646,450,450,880,1045,923.4044444,915,0.500279486,0.664424514,0.548675671,0.544732737,17.43732285,0.067952156,17.50527501
900,850,850,850,0.5,2,2,194,49,414,310,310,900,1045,938.9258065,928.5,0.500828272,0.631038647,0.551526362,0.548185367,12.53077102,0.044390202,12.57516122
920,850,850,850,0.5,2,2,194,49,253,199,199,920,1045,955.4572864,947,0.504096122,0.631038647,0.556375321,0.552826956,9.026841164,0.029787302,9.056628466
940,850,850,850,0.5,2,2,194,49,142,118,118,940,1045,974.0508475,968,0.504485488,0.631038647,0.563018919,0.566453839,6.050788879,0.016636848,6.067425727
960,850,850,850,0.5,2,2,194,49,82,68,68,960,1045,992.0147059,988,0.508278976,0.631038647,0.569934857,0.569646177,4.25977397,0.009442806,4.269216776
980,850,850,850,0.5,2,2,194,49,48,44,44,980,1045,1003.659091,1002,0.508278976,0.631038647,0.576983707,0.57836721,3.009057045,0.006130934,3.015187979
850,800,850,850,0.5,2,2,194,49,2081,1123,1123,850,1130,916.3713268,897,0.5,0.673106646,0.542244426,0.536005009,31.97105217,0.22164917,32.19270134
850,820,850,850,0.5,2,2,194,49,2081,1123,1123,850,1130,916.3713268,897,0.5,0.673106646,0.542244426,0.536005009,32.39151311,0.227125883,32.61863899
850,840,850,850,0.5,2,2,194,49,1639,943,943,850,1070,897.9353128,886,0.5,0.673106646,0.544237379,0.537703016,30.99245691,0.167357922,31.15981483
850,860,850,850,0.5,2,2,194,49,1076,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,32.54043889,0.126852751,32.66729164
850,880,850,850,0.5,2,2,194,49,1076,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,30.82359791,0.118891001,30.94248891
850,900,850,850,0.5,2,2,194,49,1076,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,29.0642643,0.12345767,29.18772197
850,920,850,850,0.5,2,2,194,49,1076,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,28.61103916,0.108142853,28.71918201
850,940,850,850,0.5,2,2,194,49,1076,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,28.53111696,0.130582809,28.66169977
850,960,850,850,0.5,2,2,194,49,1076,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,28.57490587,0.115028858,28.68993473
850,980,850,850,0.5,2,2,194,49,1049,736,736,850,1045,899.642663,889,0.5,0.673106646,0.546035987,0.539298055,28.24880385,0.109338045,28.3581419
850,850,800,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,30.72104406,0.129397869,30.85044193
850,850,820,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,31.03258014,0.122946024,31.15552616
850,850,840,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,30.81714487,0.129056931,30.9462018
850,850,860,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,31.07364511,0.126520157,31.20016527
850,850,880,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,32.14638996,0.138911009,32.28530097
850,850,900,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,31.30007386,0.125287056,31.42536092
850,850,920,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,30.77922797,0.143460035,30.92268801
850,850,940,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,31.09531617,0.128622055,31.22393823
850,850,960,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,30.49841905,0.116043091,30.61446214
850,850,980,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,30.4584291,0.129377127,30.58780623
850,850,850,850,0.1,2,2,194,49,1218,1218,1218,850,1045,892.8661741,882,0.402444758,0.673106646,0.515813345,0.515370699,30.64096594,0.136870861,30.7778368
850,850,850,850,0.2,2,2,194,49,1218,1218,1218,850,1045,892.8661741,882,0.402444758,0.673106646,0.515813345,0.515370699,31.2601757,0.141513824,31.40168952
850,850,850,850,0.3,2,2,194,49,1218,1218,1218,850,1045,892.8661741,882,0.402444758,0.673106646,0.515813345,0.515370699,30.88044596,0.141340017,31.02178598
850,850,850,850,0.4,2,2,194,49,1218,1218,1218,850,1045,892.8661741,882,0.402444758,0.673106646,0.515813345,0.515370699,31.26160312,0.138013124,31.39961624
850,850,850,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,31.00138307,0.140681982,31.14206505
850,850,850,850,0.6,2,2,194,49,1218,48,48,851,1045,909.3125,891,0.600593472,0.673106646,0.630764903,0.621197949,30.78756499,0.116502047,30.90406704
850,850,850,850,0.7,2,2,194,49,1218,0,0,0,0,0,0,0,0,0,0,30.56355286,0.118153095,30.68170596
850,850,850,850,0.8,2,2,194,49,1218,0,0,0,0,0,0,0,0,0,0,30.54617286,0.113505125,30.65967799
850,850,850,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,31.08750701,0.152186155,31.23969317
850,850,850,850,0.5,3,2,194,49,1239,791,791,850,1045,897.9380531,886,0.5,0.673106646,0.546179981,0.539257456,45.28440189,0.124343157,45.40874505
850,850,850,850,0.5,4,2,194,49,1239,791,791,850,1045,897.9380531,886,0.5,0.673106646,0.546179981,0.539257456,56.13994598,0.122522116,56.2624681
850,850,850,850,0.5,5,2,194,49,1239,791,791,850,1045,897.9380531,886,0.5,0.673106646,0.546179981,0.539257456,63.02578521,0.134913921,63.16069913
850,850,850,850,0.5,2,2,194,49,1218,770,770,850,1045,898.925974,888,0.5,0.673106646,0.54503932,0.53804046,30.86659002,0.117399216,30.98398924
850,850,850,850,0.5,2,3,194,49,1895,1270,1270,850,1045,892.4086614,883,0.5,0.673106646,0.540575109,0.533491455,46.78572798,0.209392786,46.99512077
850,850,850,850,0.5,2,4,194,49,2350,1661,1661,850,1045,888.5189645,879,0.5,0.673106646,0.53721438,0.530275229,55.4386313,0.288106203,55.7267375
850,850,850,850,0.5,2,5,194,49,2584,1878,1878,850,1045,886.4302449,877,0.5,0.673106646,0.534940252,0.52840562,61.38351107,0.349043131,61.7325542
